,For_0,For_1
868,15.715433,3.637835
869,0.06403957,12.59407
870,17.11106,4.759868
871,5.566788,13.101803
872,11.811893,7.985577
873,3.8607712,7.2111945
874,5.1808987,11.9632225
875,8.592646,6.813253
876,14.142138,3.7818322
877,2.6362047,13.126507
878,3.4717228,6.5541244
879,4.1060467,7.447301
880,0.9563462,12.910392
881,3.5371938,8.616214
882,2.861906,7.0948143
883,13.207825,8.191415
884,4.3363757,5.5692434
885,11.200227,8.093401
886,2.8491697,6.872201
887,3.9369955,9.422499
888,11.229433,5.4247985
889,2.4638288,7.193495
890,5.1502485,14.859194
891,15.092533,3.132929
892,3.3390331,10.771747
893,4.0630207,7.2217817
894,11.067242,8.539719
895,13.00345,5.8907986
896,2.8688083,8.591816
897,14.113892,4.4078093
898,0.010603014,11.6915
899,8.522258,2.2251348
900,3.4174192,6.1353703
901,16.43145,3.2484317
902,15.659626,2.144078
903,6.4003553,8.152619
904,15.609606,2.3851385
905,11.722607,6.8266897
906,7.488781,10.920666
907,11.92179,2.8417876
908,3.9796867,13.476385
909,3.2953286,7.2382154
910,15.32733,4.832505
911,15.16157,2.319384
912,9.222207,10.726379
913,3.7136765,6.5722437
914,12.612961,7.707238
915,9.770901,7.348364
916,12.072725,5.8741846
917,7.006283,13.867535
918,2.971843,13.643515
919,2.8098397,6.85765
920,3.8663216,8.5053215
921,9.638282,4.9750338
922,4.5533857,6.442072
923,4.4904327,6.526308
924,13.704189,2.2606294
925,5.1216455,11.668265
926,3.5255353,4.0908403
927,2.6430798,10.173105
928,1.1244407,8.517675
929,12.358021,6.229884
930,2.9118137,13.086681
931,15.097013,2.8850062
932,13.382193,3.8216453
933,11.383682,7.659934
934,12.114177,4.77874
935,14.526688,4.9673243
936,4.6496177,9.300108
937,3.062086,9.511871
938,3.6707904,6.388056
939,7.951023,10.291256
940,12.638414,4.1502185
941,3.4090664,7.3917227
942,3.5997531,9.030441
943,14.088926,2.6208875
944,16.450098,3.0178874
945,2.3681424,13.295546
946,3.3435497,4.7259903
947,16.21716,2.084612
948,13.245499,5.65919
949,13.58582,2.6099892
950,4.4473143,13.001127
951,13.210674,5.7501454
952,9.156355,4.2658405
953,3.6721125,6.886057
954,16.014538,3.2042239
955,3.8467035,11.005754
956,15.537097,2.5338204
957,3.0868223,8.152733
958,3.20152,6.215935
959,3.8683662,7.072338
960,5.188304,15.883116
961,3.2059436,8.838722
